match_id,date,batter,batting_team,bowling_team,venue,rolling_avg_10,venue_avg,pvt_avg,pvp_avg,career_avg,next_match_runs
501237,2011-05-02,SR Tendulkar,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,38.4,31.565217391304348,29.4,1.3,34.42857142857143,24.0
501237,2011-05-02,DJ Hussey,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,13.9,11.8,13.0,0.5333333333333333,21.84,4.0
501238,2011-05-02,RE van der Merwe,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,7.8,6.0,2.0,1.0,11.25,8.0
501238,2011-05-02,V Sehwag,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,31.1,28.272727272727273,80.0,0.85,26.5531914893617,119.0
501237,2011-05-02,RJ Harris,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,6.2,1.0,9.0,1.25,6.090909090909091,17.0
501237,2011-05-02,SE Marsh,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,39.2,44.666666666666664,69.0,1.0,47.35,4.0
501237,2011-05-02,RG Sharma,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,30.2,28.883333333333333,41.0,2.0,28.020408163265305,12.0
501238,2011-05-02,DA Warner,Delhi Daredevils,Kochi Tuskers Kerala,Feroz Shah Kotla,25.9,25.884615384615383,3.0,0.8571428571428571,26.384615384615383,1.0
501239,2011-05-03,A Mishra,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",7.6,7.142857142857143,15.666666666666666,0.8571428571428571,6.809523809523809,0.0
501239,2011-05-03,CL White,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",13.7,14.166666666666666,18.0,0.3333333333333333,14.0,15.0
501239,2011-05-03,JH Kallis,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",29.4,28.333333333333332,26.555555555555557,0.5,27.54,45.0
